City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bredasdorp,-34.5322,20.0403,64.4,68,5,5.75,ZA,2021-02-07 20:49:33
68,Atuona,-9.8,-139.0333,79.47,75,18,21.61,PF,2021-02-07 20:54:11
69,Camacha,33.0833,-16.3333,60.8,88,75,18.41,PT,2021-02-07 20:54:12
70,Lebu,-37.6167,-73.65,62.56,78,9,6.4,CL,2021-02-07 20:51:50
71,Vinh Yen,21.31,105.5967,69.8,78,40,1.14,VN,2021-02-07 20:54:12
72,Conde,-7.2597,-34.9075,84.2,74,75,11.5,BR,2021-02-07 20:53:18
73,East London,-33.0153,27.9116,71.76,84,100,8.14,ZA,2021-02-07 20:54:12
74,Onverwacht,5.5833,-55.1833,80.6,89,40,6.91,SR,2021-02-07 20:54:12
75,Cururupu,-1.8283,-44.8683,80.24,79,4,4.99,BR,2021-02-07 20:54:13
76,Dimbokro,6.6451,-4.7048,85.37,59,77,6.91,CI,2021-02-07 20:54:13
77,Avera,33.194,-82.5271,51.8,66,75,9.22,US,2021-02-07 20:52:12
78,Oka,45.4649,-74.0889,24.01,74,100,4.61,CA,2021-02-07 20:54:13
79,Kahului,20.8947,-156.47,75.2,57,1,8.05,US,2021-02-07 20:54:13
80,Sorland,67.667,12.6934,30.2,80,40,6.91,NO,2021-02-07 20:54:13
81,Ulaangom,49.9811,92.0667,-5.49,90,100,0.25,MN,2021-02-07 20:54:13
82,Rio Gallegos,-51.6226,-69.2181,68.0,40,0,23.02,AR,2021-02-07 20:54:13
83,Bay Roberts,47.5999,-53.2648,30.99,67,0,7.0,CA,2021-02-07 20:54:14
84,Ekibastuz,51.6667,75.3667,15.24,94,97,12.01,KZ,2021-02-07 20:54:14
85,Playas,-2.6333,-80.3833,80.56,73,53,10.67,EC,2021-02-07 20:54:14
86,Bethel,41.3712,-73.414,28.99,93,90,4.61,US,2021-02-07 20:50:09
87,Kodiak,57.79,-152.4072,26.6,74,1,4.61,US,2021-02-07 20:49:26
88,Kaitangata,-46.2817,169.8464,64.0,81,100,1.99,NZ,2021-02-07 20:54:14
89,Pangnirtung,66.1451,-65.7125,33.8,44,20,16.11,CA,2021-02-07 20:49:44
90,Saint George,37.1041,-113.5841,61.0,25,1,4.61,US,2021-02-07 20:53:17
91,Ribeira Grande,38.5167,-28.7,59.0,77,40,9.22,PT,2021-02-07 20:54:15
92,Malaya Serdoba,52.4661,44.9512,-6.23,90,97,12.1,RU,2021-02-07 20:54:15
93,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,75,16.11,CA,2021-02-07 20:51:19
94,Ust-Maya,60.4167,134.5333,-33.57,82,98,2.51,RU,2021-02-07 20:54:15
95,Pozzuoli,40.832,14.11,55.99,94,75,6.91,IT,2021-02-07 20:54:15
96,Neyyattinkara,8.4,77.0833,78.8,83,20,4.7,IN,2021-02-07 20:54:15
97,Puerto Baquerizo Moreno,-0.9,-89.6,84.2,79,75,14.97,EC,2021-02-07 20:54:15
98,Santa Lucia,27.9117,-15.5407,64.4,68,40,10.36,ES,2021-02-07 20:54:15
99,Hilo,19.7297,-155.09,78.8,53,1,4.61,US,2021-02-07 20:49:49
100,Upernavik,72.7868,-56.1549,18.34,79,2,2.84,GL,2021-02-07 20:50:52
101,Haines Junction,60.7522,-137.5108,-16.6,52,16,1.14,CA,2021-02-07 20:53:37
102,Sobolevo,54.4299,31.8996,-0.94,93,47,5.95,RU,2021-02-07 20:54:16
103,Tam Ky,15.5667,108.4833,73.4,83,75,2.3,VN,2021-02-07 20:54:16
104,Yulara,-25.2406,130.9889,73.4,35,0,6.91,AU,2021-02-07 20:54:16
105,Eyl,7.9803,49.8164,75.16,79,2,17.38,SO,2021-02-07 20:54:16
106,Dikson,73.5069,80.5464,-32.1,85,90,15.93,RU,2021-02-07 20:54:16
107,Itapaci,-14.9508,-49.5494,69.15,94,100,9.48,BR,2021-02-07 20:54:16
108,Saldanha,-33.0117,17.9442,64.4,68,0,14.97,ZA,2021-02-07 20:54:17
109,Camacari,-12.6975,-38.3242,84.2,74,40,17.27,BR,2021-02-07 20:54:17
110,Havre-Saint-Pierre,50.2334,-63.5986,24.8,63,1,13.8,CA,2021-02-07 20:49:43
111,Longyearbyen,78.2186,15.6401,14.0,67,75,16.11,SJ,2021-02-07 20:54:17
112,Zhangye,38.9342,100.4517,27.28,71,67,1.97,CN,2021-02-07 20:54:17
113,Somanda,-3.3667,33.95,69.57,80,99,4.5,TZ,2021-02-07 20:54:17
114,Sukumo,32.9333,132.7333,47.08,71,0,9.19,JP,2021-02-07 20:54:18
115,Klaksvik,62.2266,-6.589,35.6,75,75,10.36,FO,2021-02-07 20:54:18
116,Chuy,-33.6971,-53.4616,71.53,67,16,10.45,UY,2021-02-07 20:49:26
117,Almaznyy,48.0448,40.045,14.0,79,0,4.47,RU,2021-02-07 20:54:18
118,Fort Nelson,58.8053,-122.7002,-14.8,76,75,10.36,CA,2021-02-07 20:54:18
119,Lompoc,34.6391,-120.4579,66.0,72,1,12.66,US,2021-02-07 20:49:27
120,Codrington,-38.2667,141.9667,57.06,71,100,11.95,AU,2021-02-07 20:53:39
121,Pacific Grove,36.6177,-121.9166,64.0,71,1,6.91,US,2021-02-07 20:49:49
122,Opuwo,-18.0607,13.84,73.96,30,76,7.18,NA,2021-02-07 20:54:19
123,Port Lincoln,-34.7333,135.8667,60.12,78,81,15.05,AU,2021-02-07 20:52:47
124,Leningradskiy,69.3833,178.4167,-14.53,82,0,6.78,RU,2021-02-07 20:54:19
125,Hermon,44.8101,-68.9134,27.0,68,90,5.75,US,2021-02-07 20:54:19
126,Shimoda,34.6667,138.95,39.99,60,0,1.01,JP,2021-02-07 20:54:19
127,Marovoay,-16.1,46.6333,78.8,94,40,2.3,MG,2021-02-07 20:54:19
128,Caravelas,-17.7125,-39.2481,76.82,90,100,8.61,BR,2021-02-07 20:51:57
129,Airai,-8.9266,125.4092,60.73,100,100,2.62,TL,2021-02-07 20:54:20
130,Eureka,40.8021,-124.1637,54.0,73,2,4.0,US,2021-02-07 20:53:51
131,Birjand,32.8663,59.2211,44.6,24,0,6.91,IR,2021-02-07 20:54:20
132,Benemerito De Las Americas,16.5167,-90.6439,88.25,49,0,5.77,MX,2021-02-07 20:54:20
